,sens,spec,cost-0,cost-1,Algorithm
0,0.60033788826624,0.999337183135416,2.603785225367792,1.3518489070464,CATT_wb GP CTC ELISA 0.1 XP3
0,0.6228158950656001,0.9987973648982398,2.603785225367792,1.3518489070464,CATT_wb GP CTC ELISA 0.25 XP3
0,0.6005853241856001,0.9996970619602,6.6578201865604525,2.048690314944,CATT_wb GP CTC TL_paper 0.1 XP3
0,0.6234344848640001,0.9996970619602,6.6578201865604525,2.048690314944,CATT_wb GP CTC TL_paper 0.25 XP3
0,0.6002141703065601,0.9996970619602,6.6578201865604525,2.048690314944,CATT_wb GP CTC TL_filter 0.1 XP3
0,0.6225066001664,0.9996970619602,6.6578201865604525,2.048690314944,CATT_wb GP CTC TL_filter 0.25 XP3
0,0.5995801157632001,0.9996970619602,4.6200063412206,1.6984138416,CATT_wb GP CTC iELISA 0.1 XP3
0,0.6209214638080001,0.9996970619602,4.6200063412206,1.6984138416,CATT_wb GP CTC iELISA 0.25 XP3
0,0.59885327275008,0.9964581525371432,6.467984106486852,2.0160597030784,CATT_wb GP CTC PCR 0.1 XP3
0,0.6191043562752001,0.9915997884025581,6.467984106486852,2.0160597030784,CATT_wb GP CTC PCR 0.25 XP3
0,0.59885327275008,0.9932192431140866,6.6578201865604525,2.048690314944,CATT_wb GP CTC LAMP 0.1 XP3
0,0.6191043562752001,0.9835025148449164,6.6578201865604525,2.048690314944,CATT_wb GP CTC LAMP 0.25 XP3
0,0.6723511646289599,0.999337183135416,7.531252703867792,3.1812698978256,CATT_wb GP MaECT ELISA 0.1 XP3
0,0.6832389491723999,0.9987973648982398,7.531252703867792,3.1812698978256,CATT_wb GP MaECT ELISA 0.25 XP3
0,0.6724710164023999,0.9996970619602,11.585287665060452,3.518802454776,CATT_wb GP MaECT TL_paper 0.1 XP3
0,0.683538578606,0.9996970619602,11.585287665060452,3.518802454776,CATT_wb GP MaECT TL_paper 0.25 XP3
0,0.67229123874224,0.9996970619602,11.585287665060452,3.518802454776,CATT_wb GP MaECT TL_filter 0.1 XP3
0,0.6830891344555999,0.9996970619602,11.585287665060452,3.518802454776,CATT_wb GP MaECT TL_filter 0.25 XP3
0,0.6719841185727999,0.9996970619602,9.547473819720599,3.3491372879999997,CATT_wb GP MaECT iELISA 0.1 XP3
0,0.6823213340319999,0.9996970619602,9.547473819720599,3.3491372879999997,CATT_wb GP MaECT iELISA 0.25 XP3
0,0.6716320539883199,0.9964581525371432,11.39545158498685,3.5029970021536,CATT_wb GP MaECT PCR 0.1 XP3
0,0.6814411725708,0.9915997884025581,11.39545158498685,3.5029970021536,CATT_wb GP MaECT PCR 0.25 XP3
0,0.6716320539883199,0.9932192431140866,11.585287665060452,3.518802454776,CATT_wb GP MaECT LAMP 0.1 XP3
0,0.6814411725708,0.9835025148449164,11.585287665060452,3.518802454776,CATT_wb GP MaECT LAMP 0.25 XP3
0,0.7116311335540799,0.999337183135416,7.531252703867792,3.1482575000688,CATT_wb GP MaECT_bc ELISA 0.1 XP3
0,0.7161969786852,0.9987973648982398,7.531252703867792,3.1482575000688,CATT_wb GP MaECT_bc ELISA 0.25 XP3
0,0.7116813939751999,0.9996970619602,11.585287665060452,3.2898034110479997,CATT_wb GP MaECT_bc TL_paper 0.1 XP3
0,0.716322629738,0.9996970619602,11.585287665060452,3.2898034110479997,CATT_wb GP MaECT_bc TL_paper 0.25 XP3
0,0.71160600334352,0.9996970619602,11.585287665060452,3.2898034110479997,CATT_wb GP MaECT_bc TL_filter 0.1 XP3
0,0.7161341531588,0.9996970619602,11.585287665060452,3.2898034110479997,CATT_wb GP MaECT_bc TL_filter 0.25 XP3
0,0.7114772110144,0.9996970619602,9.547473819720599,3.2186535023999996,CATT_wb GP MaECT_bc iELISA 0.1 XP3
0,0.715812172336,0.9996970619602,9.547473819720599,3.2186535023999996,CATT_wb GP MaECT_bc iELISA 0.25 XP3
0,0.7113295710273599,0.9964581525371432,11.39545158498685,3.2831753180128,CATT_wb GP MaECT_bc PCR 0.1 XP3
0,0.7154430723684,0.9915997884025581,11.39545158498685,3.2831753180128,CATT_wb GP MaECT_bc PCR 0.25 XP3
0,0.7113295710273599,0.9932192431140866,11.585287665060452,3.2898034110479997,CATT_wb GP MaECT_bc LAMP 0.1 XP3
0,0.7154430723684,0.9835025148449164,11.585287665060452,3.2898034110479997,CATT_wb GP MaECT_bc LAMP 0.25 XP3
0,0.6679867236372801,0.999337183135416,3.0438823207077923,1.4637946748208,CATT_wb GP QBC ELISA 0.1 XP3
0,0.6795769458932001,0.9987973648982398,3.0438823207077923,1.4637946748208,CATT_wb GP QBC ELISA 0.25 XP3
0,0.6681143077832,0.9996970619602,7.097917281900453,1.823103525768,CATT_wb GP QBC TL_paper 0.1 XP3
0,0.679895906258,0.9996970619602,7.097917281900453,1.823103525768,CATT_wb GP QBC TL_paper 0.25 XP3
0,0.66792293156432,0.9996970619602,7.097917281900453,1.823103525768,CATT_wb GP QBC TL_filter 0.1 XP3
0,0.6794174657108001,0.9996970619602,7.097917281900453,1.823103525768,CATT_wb GP QBC TL_filter 0.25 XP3
0,0.6675959971904001,0.9996970619602,5.0601034365606,1.6424922191999998,CATT_wb GP QBC iELISA 0.1 XP3
0,0.678600129776,0.9996970619602,5.0601034365606,1.6424922191999998,CATT_wb GP QBC iELISA 0.25 XP3
0,0.66722121876176,0.9964581525371432,6.908081201826852,1.8062783665248,CATT_wb GP QBC PCR 0.1 XP3
0,0.6776631837044,0.9915997884025581,6.908081201826852,1.8062783665248,CATT_wb GP QBC PCR 0.25 XP3
0,0.66722121876176,0.9932192431140866,7.097917281900453,1.823103525768,CATT_wb GP QBC LAMP 0.1 XP3
0,0.6776631837044,0.9835025148449164,7.097917281900453,1.823103525768,CATT_wb GP QBC LAMP 0.25 XP3
0,0.6017390601984001,0.9993398541844787,2.4622104336022854,1.2337331634239999,RDT1_SD GP CTC ELISA 0.1 XP3
0,0.6239915544960001,0.9988000343440319,2.4622104336022854,1.2337331634239999,RDT1_SD GP CTC ELISA 0.25 XP3
0,0.6019840136960001,0.99969973407811,6.5162574353582485,1.92358345104,RDT1_SD GP CTC TL_paper 0.1 XP3
0,0.62460393824,0.99969973407811,6.5162574353582485,1.92358345104,RDT1_SD GP CTC TL_paper 0.25 XP3
0,0.6016165834496,0.99969973407811,6.5162574353582485,1.92358345104,RDT1_SD GP CTC TL_filter 0.1 XP3
0,0.623685362624,0.99969973407811,6.5162574353582485,1.92358345104,RDT1_SD GP CTC TL_filter 0.25 XP3
0,0.6009888901120001,0.99969973407811,4.478437537671331,1.576821156,RDT1_SD GP CTC iELISA 0.1 XP3
0,0.62211612928,0.99969973407811,4.478437537671331,1.576821156,RDT1_SD GP CTC iELISA 0.25 XP3
0,0.6002693392128,0.9964608150354286,6.326420791467768,1.891280208544,RDT1_SD GP CTC PCR 0.1 XP3
0,0.620317252032,0.991602436471407,6.326420791467768,1.891280208544,RDT1_SD GP CTC PCR 0.25 XP3
0,0.6002693392128,0.9932218959927476,6.5162574353582485,1.92358345104,RDT1_SD GP CTC LAMP 0.1 XP3
0,0.620317252032,0.9835051388647039,6.5162574353582485,1.92358345104,RDT1_SD GP CTC LAMP 0.25 XP3
0,0.6730298572836,0.9993398541844787,7.389692546777286,3.0448003335960006,RDT1_SD GP MaECT ELISA 0.1 XP3
0,0.683808409209,0.9988000343440319,7.389692546777286,3.0448003335960006,RDT1_SD GP MaECT ELISA 0.25 XP3
0,0.6731485066339999,0.99969973407811,11.44373954853325,3.3789465666600007,RDT1_SD GP MaECT TL_paper 0.1 XP3
0,0.684105032585,0.99969973407811,11.44373954853325,3.3789465666600007,RDT1_SD GP MaECT TL_paper 0.25 XP3
0,0.6729705326084,0.99969973407811,11.44373954853325,3.3789465666600007,RDT1_SD GP MaECT TL_filter 0.1 XP3
0,0.683660097521,0.99969973407811,11.44373954853325,3.3789465666600007,RDT1_SD GP MaECT TL_filter 0.25 XP3
0,0.672666493648,0.99969973407811,9.40591965084633,3.210983580000001,RDT1_SD GP MaECT iELISA 0.1 XP3
0,0.68290000012,0.99969973407811,9.40591965084633,3.210983580000001,RDT1_SD GP MaECT iELISA 0.25 XP3
0,0.6723179611812,0.9964608150354286,11.253902904642768,3.3632996835760007,RDT1_SD GP MaECT PCR 0.1 XP3
0,0.682028668953,0.991602436471407,11.253902904642768,3.3632996835760007,RDT1_SD GP MaECT PCR 0.25 XP3
0,0.6723179611812,0.9932218959927476,11.44373954853325,3.3789465666600007,RDT1_SD GP MaECT LAMP 0.1 XP3
0,0.682028668953,0.9835051388647039,11.44373954853325,3.3789465666600007,RDT1_SD GP MaECT LAMP 0.25 XP3
0,0.7119157466028,0.9993398541844787,7.389692546777286,3.0121191355080006,RDT1_SD GP MaECT_bc ELISA 0.1 XP3
0,0.716435784507,0.9988000343440319,7.389692546777286,3.0121191355080006,RDT1_SD GP MaECT_bc ELISA 0.25 XP3
0,0.711965502782,0.99969973407811,11.44373954853325,3.1522449751800004,RDT1_SD GP MaECT_bc TL_paper 0.1 XP3
0,0.716560174955,0.99969973407811,11.44373954853325,3.1522449751800004,RDT1_SD GP MaECT_bc TL_paper 0.25 XP3
0,0.7118908685132,0.99969973407811,11.44373954853325,3.1522449751800004,RDT1_SD GP MaECT_bc TL_filter 0.1 XP3
0,0.716373589283,0.99969973407811,11.44373954853325,3.1522449751800004,RDT1_SD GP MaECT_bc TL_filter 0.25 XP3
0,0.711763368304,0.99969973407811,9.40591965084633,3.0818088840000004,RDT1_SD GP MaECT_bc iELISA 0.1 XP3
0,0.71605483876,0.99969973407811,9.40591965084633,3.0818088840000004,RDT1_SD GP MaECT_bc iELISA 0.25 XP3
0,0.7116172095276,0.9964608150354286,11.253902904642768,3.1456833790480005,RDT1_SD GP MaECT_bc PCR 0.1 XP3
0,0.7156894418190001,0.991602436471407,11.253902904642768,3.1456833790480005,RDT1_SD GP MaECT_bc PCR 0.25 XP3
0,0.7116172095276,0.9932218959927476,11.44373954853325,3.1522449751800004,RDT1_SD GP MaECT_bc LAMP 0.1 XP3
0,0.7156894418190001,0.9835051388647039,11.44373954853325,3.1522449751800004,RDT1_SD GP MaECT_bc LAMP 0.25 XP3
0,0.6687092029148,0.9993398541844787,2.9023088360392855,1.3445558258280002,RDT1_SD GP QBC ELISA 0.1 XP3
0,0.680183145287,0.9988000343440319,2.9023088360392855,1.3445558258280002,RDT1_SD GP QBC ELISA 0.25 XP3
0,0.668835507062,0.99969973407811,6.956355837795249,1.70025988038,RDT1_SD GP QBC TL_paper 0.1 XP3
0,0.680498905655,0.99969973407811,6.956355837795249,1.70025988038,RDT1_SD GP QBC TL_paper 0.25 XP3
0,0.6686460508412,0.99969973407811,6.956355837795249,1.70025988038,RDT1_SD GP QBC TL_filter 0.1 XP3
0,0.680025265103,0.99969973407811,6.956355837795249,1.70025988038,RDT1_SD GP QBC TL_filter 0.25 XP3
0,0.668322396464,0.99969973407811,4.918535940108331,1.521460572,RDT1_SD GP QBC iELISA 0.1 XP3
0,0.6792161291600001,0.99969973407811,4.918535940108331,1.521460572,RDT1_SD GP QBC iELISA 0.25 XP3
0,0.6679513780316,0.9964608150354286,6.766519193904768,1.683603520968,RDT1_SD GP QBC PCR 0.1 XP3
0,0.678288583079,0.991602436471407,6.766519193904768,1.683603520968,RDT1_SD GP QBC PCR 0.25 XP3
0,0.6679513780316,0.9932218959927476,6.956355837795249,1.70025988038,RDT1_SD GP QBC LAMP 0.1 XP3
0,0.678288583079,0.9835051388647039,6.956355837795249,1.70025988038,RDT1_SD GP QBC LAMP 0.25 XP3
